,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,CreditScoreBines,Gender_Female,Gender_Male,Geography_France,Geography_Germany,Geography_Spain
0,42.0,2,0.0,1,1,1,101348.88,1,1.0,True,False,True,False,False
1,41.0,1,83807.86,1,0,1,112542.58,0,1.0,True,False,False,False,True
2,42.0,8,159660.8,3,1,0,113931.57,1,0.0,True,False,True,False,False
3,38.91,1,0.0,2,0,0,93826.63,0,2.0,True,False,True,False,False
4,43.0,2,125510.82,1,1,1,79084.1,0,,True,False,False,False,True
5,44.0,8,113755.78,2,1,0,149756.71,1,1.0,False,True,False,False,True
6,50.0,7,0.0,2,1,1,10062.8,0,4.0,False,True,True,False,False
7,29.0,4,115046.74,4,1,0,119346.88,1,0.0,True,False,False,True,False
8,44.0,4,142051.07,2,0,1,74940.5,0,0.0,False,True,True,False,False
9,27.0,2,134603.88,1,1,1,71725.73,0,2.0,False,True,True,False,False
10,31.0,6,102016.72,2,0,0,80181.12,0,0.0,False,True,True,False,False
11,24.0,3,0.0,2,1,0,76390.01,0,0.0,False,True,False,False,True
12,34.0,10,0.0,2,1,0,26260.98,0,0.0,True,False,True,False,False
13,25.0,5,0.0,2,0,0,190857.79,0,0.0,True,False,True,False,False
14,35.0,7,0.0,2,1,1,65951.65,0,1.0,True,False,False,False,True
15,45.0,3,143129.41,2,0,1,64327.26,0,1.0,False,True,False,True,False
16,58.0,1,132602.88,1,1,0,5097.67,1,1.0,False,True,False,True,False
17,24.0,9,0.0,2,1,1,14406.41,0,0.0,True,False,False,False,True
18,45.0,6,0.0,1,0,0,158684.81,0,1.0,False,True,False,False,True
19,24.0,6,0.0,2,1,1,54724.03,0,2.0,True,False,True,False,False
20,41.0,8,0.0,2,1,1,170886.17,0,2.0,False,True,True,False,False
21,32.0,8,0.0,2,1,0,138555.46,0,1.0,True,False,False,False,True
22,38.0,4,0.0,1,1,0,118913.53,1,0.0,True,False,False,False,True
23,46.0,3,0.0,2,0,1,8487.75,0,1.0,False,True,True,False,False
24,38.0,5,0.0,1,1,1,187616.16,0,4.0,True,False,True,False,False
25,25.0,3,0.0,2,0,1,124508.29,0,0.0,False,True,True,False,False
26,36.0,2,136815.64,1,1,1,170041.95,0,3.0,False,True,False,True,False
27,44.0,9,0.0,2,0,0,38433.35,0,0.0,False,True,True,False,False
